processed,raw,similarity,ticker,totalEsg
Lincoln National,Lincoln National,1.0,LNC,23.12
LKQ,LKQ Corporation,0.3333333333333333,LKQ,13.95
Lockheed Martin,Lockheed Martin Corp.,0.8333333333333334,LMT,30.57
Loews,Loews Corp.,0.625,L,15.52
Lowe's Cos.,Lowe's Cos.,1.0,LOW,12.59
LyondellBasell,LyondellBasell,1.0,LYB,26.18
M&T Bank,M&T Bank Corp.,0.7272727272727273,MTB,27.53
Marathon Oil,Marathon Oil Corp.,0.8,MRO,43.09
Marathon Petroleum,Marathon Petroleum,1.0,MPC,28.13
Marriott,Marriott Int'l.,0.6956521739130435,MAR,25.52
Marsh & McLennan,Marsh & McLennan,1.0,MMC,19.23
Martin Marietta Materials,Martin Marietta Materials,1.0,MLM,32.47
Masco,Masco Corp.,0.625,MAS,19.79
Mastercard,Mastercard Inc.,0.8,MA,16.6
McCormick &,McCormick & Co.,0.8461538461538461,MKC,30.7
McDonald's,McDonald's Corp.,0.7692307692307693,MCD,24.7
McKesson,McKesson Corp.,0.7272727272727273,MCK,19.98
Medtronic,Medtronic plc,0.8181818181818182,MDT,25.93
Merck &,Merck & Co.,0.7777777777777778,MRK,26.82
MetLife,MetLife Inc.,0.7368421052631579,MET,23.47
Mettler Toledo,Mettler Toledo,1.0,MTD,11.3
MGM Resorts International,MGM Resorts International,1.0,MGM,25.31
Microchip Technology,Microchip Technology,1.0,MCHP,34.03
Micron Technology,Micron Technology,1.0,MU,33.97
Microsoft,Microsoft Corp.,0.75,MSFT,14.91
Mid-America Apartments,Mid-America Apartments,1.0,MAA,18.77
Mohawk Industries,Mohawk Industries,1.0,MHK,15.05
Molson Coors Beverage,Molson Coors Beverage Company,0.84,TAP,18.38
Mondelez International,Mondelez International,1.0,MDLZ,26.45
Monster Beverage,Monster Beverage,1.0,MNST,33.24
Moody's,Moody's Corp,0.7368421052631579,MCO,12.34
Morgan Stanley,Morgan Stanley,1.0,MS,23.03
The Mosaic,The Mosaic Company,0.7142857142857143,MOS,34.64
Motorola Solutions,Motorola Solutions Inc.,0.8780487804878049,MSI,14.93
MSCI,MSCI Inc,0.6666666666666666,MSCI,23.28
Mylan N.V.,Mylan N.V.,1.0,MYL,36.73
"Nasdaq,","Nasdaq, Inc.",0.7368421052631579,NDAQ,17.14
National Oilwell Varco,National Oilwell Varco Inc.,0.8979591836734694,NOV,34.7
Netflix,Netflix Inc.,0.7368421052631579,NFLX,17.94
Newell Brands,Newell Brands,1.0,NWL,15.37
Newmont,Newmont Corporation,0.5384615384615384,NEM,22.67
News,News Corp. Class A,0.36363636363636365,NWSA,14.62
NextEra Energy,NextEra Energy,1.0,NEE,29.79
Nielsen,Nielsen Holdings,0.6086956521739131,NLSN,22.81
"Nike,","Nike, Inc.",0.6666666666666666,NKE,16.78
NiSource,NiSource Inc.,0.7619047619047619,NI,32.28
Noble Energy,Noble Energy Inc,0.8571428571428571,NBL,37.26
Norfolk Southern,Norfolk Southern Corp.,0.8421052631578947,NSC,24.24
Northern Trust,Northern Trust Corp.,0.8235294117647058,NTRS,25.36
Northrop Grumman,Northrop Grumman,1.0,NOC,31.14
NortonLifeLock,NortonLifeLock,1.0,NLOK,17.15
Norwegian Cruise Line,Norwegian Cruise Line Holdings,0.8235294117647058,NCLH,27.45
NRG Energy,NRG Energy,1.0,NRG,40.67
Nucor,Nucor Corp.,0.625,NUE,37.86
Nvidia,Nvidia Corporation,0.5,NVDA,12.92
"NVR,","NVR, Inc.",0.6153846153846154,NVR,19.81
Occidental Petroleum,Occidental Petroleum,1.0,OXY,42.47
Omnicom,Omnicom Group,0.7,OMC,18.03
ONEOK,ONEOK,1.0,OKE,26.74
Oracle,Oracle Corp.,0.6666666666666666,ORCL,18.12
PACCAR,PACCAR Inc.,0.7058823529411765,PCAR,34.94
Packagingof America,Packaging Corporation of America,0.7450980392156863,PKG,19.64
Parker-Hannifin,Parker-Hannifin,1.0,PH,29.58
PayPal,PayPal,1.0,PYPL,17.95
Pentair,Pentair plc,0.7777777777777778,PNR,33.04
People's United Financial,People's United Financial,1.0,PBCT,24.52
PepsiCo,PepsiCo Inc.,0.7368421052631579,PEP,22.17
PerkinElmer,PerkinElmer,1.0,PKI,20.63
Perrigo,Perrigo,1.0,PRGO,40.96
Pfizer,Pfizer Inc.,0.7058823529411765,PFE,29.65
Philip Morris International,Philip Morris International,1.0,PM,29.6
Phillips 66,Phillips 66,1.0,PSX,29.77
Pinnacle West Capital,Pinnacle West Capital,1.0,PNW,28.32
Pioneer Natural Resources,Pioneer Natural Resources,1.0,PXD,45.26
PNC Financial Services,PNC Financial Services,1.0,PNC,20.16
PPG Industries,PPG Industries,1.0,PPG,27.1
PPL,PPL Corp.,0.5,PPL,35.15
Principal Financial,Principal Financial Group,0.8636363636363636,PFG,22.43
Procter & Gamble,Procter & Gamble,1.0,PG,25.68
Progressive,Progressive Corp.,0.7857142857142857,PGR,25.06
Prologis,Prologis,1.0,PLD,10.28
Prudential Financial,Prudential Financial,1.0,PRU,20.58
Public Service(PSEG),Public Service Enterprise Group (PSEG),0.6896551724137931,PEG,29.18
Public Storage,Public Storage,1.0,PSA,18.44
Pulte,PulteGroup,0.6666666666666666,PHM,21.57
PVH,PVH Corp.,0.5,PVH,13.94
Quanta Services,Quanta Services Inc.,0.8571428571428571,PWR,37.38
QUALCOMM,QUALCOMM Inc.,0.7619047619047619,QCOM,19.28
Quest Diagnostics,Quest Diagnostics,1.0,DGX,18.7
Ralph Lauren,Ralph Lauren Corporation,0.6666666666666666,RL,13.55
Raymond James Financial,Raymond James Financial Inc.,0.9019607843137255,RJF,28.01
Raytheon Technologies,Raytheon Technologies,1.0,RTX,29.17
Realtyome,Realty Income Corporation,0.5294117647058824,O,18.51
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,1.0,REGN,21.81
Regions Financial,Regions Financial Corp.,0.85,RF,19.63
Republic Services,Republic Services Inc,0.8947368421052632,RSG,23.73
ResMed,ResMed,1.0,RMD,27.53
Robert Half International,Robert Half International,1.0,RHI,11.45
Rockwell Automation,Rockwell Automation Inc.,0.8837209302325582,ROK,22.09
Ross Stores,Ross Stores,1.0,ROST,15.94
Royal Caribbean,Royal Caribbean Group,0.8333333333333334,RCL,22.45
"S&P Global,","S&P Global, Inc.",0.8148148148148148,SPGI,13.43
Salesforce.com,Salesforce.com,1.0,CRM,11.22
Schlumberger,Schlumberger Ltd.,0.8275862068965517,SLB,24.36
Seagate Technology,Seagate Technology,1.0,STX,15.24
Sealed Air,Sealed Air,1.0,SEE,20.46
Sempra Energy,Sempra Energy,1.0,SRE,29.94
Sherwin-Williams,Sherwin-Williams,1.0,SHW,29.56
Simon Property,Simon Property Group Inc,0.7368421052631579,SPG,14.46
SL Green Realty,SL Green Realty,1.0,SLG,15.01
Snap-on,Snap-on,1.0,SNA,33.16
Southern,Southern Company,0.6666666666666666,SO,32.06
Southwest Airlines,Southwest Airlines,1.0,LUV,31.92
Stanley Black & Decker,Stanley Black & Decker,1.0,SWK,32.34
Starbucks,Starbucks Corp.,0.75,SBUX,21.08
State Street,State Street Corp.,0.8,STT,22.05
Stryker,Stryker Corp.,0.7,SYK,36.82
Synchrony Financial,Synchrony Financial,1.0,SYF,20.84
Sysco,Sysco Corp.,0.625,SYY,13.05
T-Mobile US,T-Mobile US,1.0,TMUS,26.95
